"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@99Nandes @UMCmossos @mossos @CiudadanosCs @ppmadrid @socialistes_cat @vox_es @JuecesAPMCAT @interiorgob… https://t.co/UMMZcXh95v",FALSE,0,"99Nandes",2019-01-01 23:49:51,TRUE,"1080166891975573507","1080249777332334592","2783686161","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","acandel83",0,FALSE,FALSE,NA,NA
"@Pollos_Bros @jmangues Si la republica existiera, la gente estaría en su casa, no quejándose en la calle. El idiota… https://t.co/o5TXZKqusE",FALSE,0,"Pollos_Bros",2019-01-01 23:39:29,TRUE,"1080181188051042304","1080247169066721280","912003202362593287","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alejand84842065",0,FALSE,FALSE,NA,NA
"@Alejand84842065 @IndosIgnacio @jmangues A mi personalmente me la suda si van en uniforme o no.
El reglamento lo bu… https://t.co/zailoZi0yG",FALSE,0,"Alejand84842065",2019-01-01 23:36:04,TRUE,"1080243859286839296","1080246306122199042","3987960196","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","sarcasmodigame",0,FALSE,FALSE,NA,NA
"A ese mosso hay que ponerle una estatua, coño!!! 
Estos independentistas no tienen ni sentido del humor, joder. 
No… https://t.co/M2fqOatMMY",FALSE,0,NA,2019-01-01 23:30:33,TRUE,NA,"1080244920449937408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rodolforamos",0,FALSE,FALSE,NA,NA
"@IndosIgnacio @jmangues El problema mental lo tiene usted, que justifica que un agente público insulte gratuitament… https://t.co/YuSsK0ehDc",FALSE,0,"IndosIgnacio",2019-01-01 23:26:20,TRUE,"1080200195114221569","1080243859286839296","2766003810","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alejand84842065",0,FALSE,FALSE,NA,NA
"Esto es persecución propia de Régimenes Dictadores y Autoritarios.  Asuntos Internos revisará la actuación del moss… https://t.co/UPVvWQ0hkC",FALSE,0,NA,2019-01-01 22:53:47,TRUE,NA,"1080235667811168257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elisabetromer10",0,FALSE,FALSE,NA,NA
"@PanfletoMetro @javiernegre10 El mosso que llamó idiota a un manifestante. Lo de la República me la trae al pairo.… https://t.co/SyacNfjnzQ",FALSE,0,"PanfletoMetro",2019-01-01 22:38:26,TRUE,"1080114684567662592","1080231803728945154","969992102368219137","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mallus_Malleus",0,FALSE,FALSE,NA,NA
"Asuntos Internos investigará la actuación del mosso que dijo: «¡La República no existe, idiota!» https://t.co/wOtysDbgdI",FALSE,0,NA,2019-01-01 22:22:51,FALSE,NA,"1080227882750885895",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","falcarazfer",0,FALSE,FALSE,NA,NA
"Vamos a ver, según la RAE idiota significa ""corto de entendimiento"" y es evidente que al manifestante del #21D no e… https://t.co/H4gM1zOvy4",FALSE,0,NA,2019-01-01 22:11:59,TRUE,NA,"1080225146718302209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cessanca",0,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante el 21-D https://t.co/OYSwLrbBew Será caradura",FALSE,0,NA,2019-01-01 22:11:40,FALSE,NA,"1080225070172258304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alonsoboni",0,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante el 21-D | Cataluña<U+0001F534><U+0001F534>Le revisa… https://t.co/z7YlcQlxVV",FALSE,0,NA,2019-01-01 22:05:34,TRUE,NA,"1080223533740056576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Salicornia16",0,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante el 21-D https://t.co/Ci6oTpDWjb",FALSE,0,NA,2019-01-01 21:50:28,FALSE,NA,"1080219734333886467",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","emberrechin",0,FALSE,FALSE,NA,NA
"Polémica en Cataluña por el mosso del viral «!La república no existe, idiota!» https://t.co/CKQKzHzP5P",FALSE,0,NA,2019-01-01 21:35:05,FALSE,NA,"1080215862181806080",NA,"<a href=""http://35.180.36.179"" rel=""nofollow"">botize nueva</a>","lextresabogados",0,FALSE,FALSE,NA,NA
"Polémica en Cataluña por el mosso del viral «!La república no existe, idiota!» https://t.co/lHtC9K1UwY",FALSE,3,NA,2019-01-01 21:31:43,FALSE,NA,"1080215015758675968",NA,"<a href=""http://dogtrack.es"" rel=""nofollow"">DogTrack_Oficial</a>","lavozdegalicia",4,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante el 21-D https://t.co/upOe1MNcfM",FALSE,0,NA,2019-01-01 21:24:01,FALSE,NA,"1080213077973499907",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catalunyaispain",0,FALSE,FALSE,NA,NA
